commune_id,epoca_di_fondazione,secolo_di_fondazione,anno_di_fondazione,etimologia_del_nome,storia
28,Antica,,,"il nome del paese deriverebbe dal latino tardo ed andrebbe inteso come ""borgo""","Superata la prima fase di occupazione del territorio da parte degli Hirpini Contrada fece parte della colonia romana Veneria Livia Abellinatum. La presenza di diverse iscrizioni, sepolcri ed altri reperti rafforza l'ipotesi che anche qui si sviluppò un insediamento romano a causa della realizzazione della ""Fons Augusti"" o ""Fontis Augustei Aquaeductus"". Ultimata la costruzione dell'acquedotto, per il suo funzionamento e la sua manutenzione, vennero mantenute molte persone nella zona, per cui, già prima della nascita di Cristo, doveva esistere anche un insediamento a Contrada. Le origini del borgo medioevale di Contrada risalgono al Medioevo. I primi documenti, infatti, sono del XIII secolo, precisamente del 1213, dove si parla di Contrada quale Contrada di Bagnoli, un piccolo casale nel Medioevo non distante dal centro ed abbandonato già dal XIV secolo. Il Casale di Contrada e quello dell'Hospitale divennero parte del feudo di Forino dal XIV-XV secolo fino a qualche decennio successivo all'abolizione della feudalità (1806), finendo per seguirne le vicende politico-amministrative, salvo un breve periodo, dal 1552, in cui il Casale divenne ""Università"" autonoma, anche se sempre soggetta ai feudatari di Forino. Il Casale di Hospitale (Ospedale), nei pressi del centro storico, nel 1848, si fuse con quello di Contrada per formare un Comune autonomo."
29,Antica,,,,"Il territorio è stato abitato da popolazioni appartenenti alla cosiddetta cultura di Oliveto-Cairano. Influente centro irpino, romano e longobardo, sede vescovile prima, e arcivescovile in seguito, a causa di frequenti terremoti, col tempo perse la sua importanza a favore di Sant'Angelo dei Lombardi e Teora. Dal 1811 al 1860 ha fatto parte del circondario di Teora, appartenente al distretto di Sant'Angelo de' Lombardi del regno delle Due Sicilie. Dal 1860 al 1927, durante il regno d'Italia ha fatto parte del mandamento di Teora, appartenente al circondario di Sant'Angelo de' Lombardi."
30,Antica,,,"Il nome deriva dall'unione di Domus con il suffisso diminutivo cella, con il significato di ""piccola casa"", usata per raccogliere gli alimenti o dedicata, forse, agli schiavi.","Se le origini del paese sembrano ineccepibilmente essere ""scritte"" nel suo nome sembra che in precedenza sul sito esistesse già un insediamento, a cui Domus Cella si sarebbe sovrapposta. Le testimonianze di epoca romana sono chiare ed equivoche: in località Cioppola, si trovano i ruderi di una villa rustica romana, rappresentati da tratti di pareti, di vasche e di pavimentazioni, ed un'altra si trova lungo la Via Palma Campania-Lauro. Ulteriore stratificazione urbana si ebbe nel Medioevo, quando il borgo si sovrappose a sua volta al nucleo di epoca romana. Fu così che Domicella e dintorni vennero assorbiti dal feudo di Lauro, appartenendo nel 1220 a Giovanni Lanzo, Notaro di Federico II, e nel 1270 a Raimondo de Vaudemont. Successivamente, proprietari furono gli Orsini, i Sanseverino, i Pignatelli ed i Lancellotti. Domicella diede i natali al Letterato Giano Anisio (1465-1540) ed all'Umanista dell'Accademia Pontaniana del XVI secolo, Cosimo Anisio."
31,Antica,,,"L'origine del nome non è chiara. Secondo alcuni deriva da una famiglia normanna, ""Forma"" che abitò questi luoghi. Secondo altri potrebbe derivare dal termine frumentum per indicare l'abbondanza del grano presente in zona. Quest'ultima ipotesi è avvalorata anche dallo stemma del Comune che riporta due spighe di grano.","Dopo la caduta dell’Impero Romano e il turbolento passaggio dei Bizantini e dei Longobardi, troviamo Flumeri appartenente alla Baronia di Vico, nella seconda metà dell’XI secolo quando era signore il Normanno Gradilone, figlio di Riccardo de Forma, Principe di Capua. Dopo meno di un secolo, la sede di residenza della Baronia e del suo Signore fu spostata da Trevico a Flumeri. Allora il centro, che aveva già un castello munito di mura con due porte che si aprivano una ad Est, detta Porta della Vittoria, di cui se ne conservano ancora dei resti all’inizio del paese; e una a Nord, detta Porta di Santa Maria, venne fortificato diventando una vera e propria roccaforte a guardia delle vallate sottostanti. Accanto al castello sorgeva un Convento Francescano che si dice fosse stato fondato dallo stesso Poverello d’Assisi. Dopo i Normanni vennero gli Svevi e in un secondo tempo gli Angioini. Le successive lotte tra Angioini e Aragonesi trovarono Flumeri totalmente coinvolto. Nel 1461, infatti, fu cinta d’assedio dagli Aragonesi e le sue mura furono bombardate."
32,Medievale,,,"Per quanto riguarda poi l'origine del nome definitivo di Fontanarosa, vi sono almeno tre opinioni più serie, oltre quella leggendaria di una fontana appartenente ad una tale Rosa, ove molti si sarebbero recati ad attingere («andiamo alla fontana di Rosa»). La prima opinione ritiene che, come si ricava da antichi documenti, il nome sia stato originato dalla salubrità del clima e dalla fertilità dei campi. L'altra sentenza ritiene che il paese abbia preso nome da una sorgente di acqua di sapor rosaceo, donde il nome di Fontanarosae: Fontana (sapor) di rosa (vedi: F.M.Pratilo “Via Appia”). Infine una terza teoria ricondurrebbe il nome del paese alla parola latina ""fontanarosarum"", ovvero luogo ricco di sorgenti.","Fontanarosa vanta origini normanne e venne citata per la prima volta nell'XI secolo. La famiglia Fontanarosa già citata, fu una delle più illustri al tempo dei Normanni: Giovanni di Fontanarosa prima e Roberto di Fontanarosa poi, furono grandi conestabili (la più alta carica del regno) ai tempi di Federico II. La signoria dei Fontanarosa terminò nel 1340 (o 1461 secondo altri). Fontanarosa passò in feudo alla famiglia Gesualdo, a cui appartenne fino al XVII secolo, per poi andare ai Ludovisio ed infine ai Tocco di Montemiletto."
33,Antica,,,"Potrebbe derivare dal cognome Forino, che a sua volta deriva dal latino fur, furis, ossia ladro. La tradizione crede che il nome derivi da castrum Forini, ossia zona ""abbondante di fiori"". Un'altra ipotesi vuole invece che il nome derivi da forum, piazza, luogo di riunione.","Ritrovamenti sporadici nel territorio danno una sua frequentazione già in epoca pre-romana.  Il paese faceva parte della colonia romana Venera Livia Abellinatum, ed era caratterizzato dalla presenza di costruzioni riconducibili alla Villa romana. Forino fu interessato dall'attraversamento dei vari popoli invasori. I segni più evidenti del loro passaggio furono lasciati dai Bizantini, con il culto del loro protettore San Nicola, vescovo di Mira, e ancora oggi protettore del paese. Gli Orsini, venuti in possesso del feudo per maritaggio, lasciarono segni importanti del loro passaggio nel territorio."
34,Medievale,V,441.0,"La denominazione di Frigento deriverebbe dal toponimo Frequentum, Friquentum o Afrigentum, a loro volta derivanti dall'espressione latina A populi frequentia, così come menzionato nelle Rationes Decimarum della Campania (1308-1310).","Il territorio di Frigento conta numerosi rinvenimenti di epoca paleolitica, principalmente realizzati in selce o in ""pietra di Frigento"", costituita fra l'altro da scisti silicei, peliti rosse silicizzate e marne silicizzate. Il paese di Frigento emerse agli onori della storia nel 441; in quell'anno per volere del Papa Leone Magno divenne sede della diocesi del meritevole vescovo Marciano che scelse questo lungo come eremo e luogo di preghiera."
35,Medievale,XIV,1335.0,"Un'ipotesi sull’origine del nome è di Cipriano de Meo, il quale sostiene che il nome medievale di Gesualdo fosse Gisivaldum, da Gis-wald, dove “Gis”‘ è il nome del suddetto cavaliere e “wald” vuol dire bosco, quindi “Il bosco di Gis”, pertanto confutando le altre tesi che ritenevano la denominazione Gesualdo derivare dal nome dell’eroico Cavaliere","Una prima versione, dovuta alla tradizione locale, vuole che Gesualdo sia di origine longobarda, in quanto fondata da Gensualdo, nel VII secolo. La tesi prevalente, però, fa risalire la nascita di Gesualdo ai tempi di Guglielmo d'Altavilla, figlio naturale di Ruggiero il Normanno. Il borgo fu gravemente colpito dal terremoto del 1694 e fu saccheggiato dalle truppe francesi nel 1799, episodio quest'ultimo che determinò la decadenza del castello e del borgo. Gli ultimi feudatari furono i Caracciolo di Torella ed i Caccese."
36,Medievale,VI,535.0,"Deriva dal latino Graeci, ossia greci, in riferimento alla popolazione greco-bizantina dalla quale ha avuto origine il borgo","Nel luogo in cui sorge Greci vi erano stati i bizantini. Nel 535, l'imperatore di Costantinopoli Giustiniano, impegnato nelle guerre contro i Goti, inviò in Italia il proprio generale Belisario il quale vi fondò un gran numero di colonie, tra cui appunto Greci. Distrutto dai Saraceni (908), il borgo fu ricostruito nel 1039 per ordine di Pandolfo II, principe di Benevento"
37,Medievale,,,"Deriva dall'unione del termine ""grotta"" con il nome di persona Maynardus, forse di origine lombarda","Fece parte in epoca normanna dei possedimenti della famiglia Gesualdo. Concessa in dono da Federico II di Svevia (1229) a un ramo della famiglia D'Aquino, venne infeudata ai Bonito; da questi passò, nel 1540, ai Della Porta, che la ressero con il titolo di duchi. Fu in seguito acquistata dai Salza (XVII secolo), che, durante la rivolta di Masaniello (1646), fecero incendiare numerose abitazioni perché non cadessero in mano ai rivoltosi; venduta alla famiglia Coscia nel 1694, fu distrutta nello stesso anno da un terribile terremoto; altri sismi la colpirono nel 1930, nel 1962 e nel 1980."
38,Medievale,,,"Il nome deriva da Gructerola, che indica un castello e una piccola grotta. Il nome ""Grottolella"" è considerato un diminutivo di grotta.","Il borgo venne probabilmente edificato attorno ad un originario fortilizio longobardo, a cui ne seguì uno normanno, attorno al 1083. Sin dall'epoca longobarda, stando a quanto scrisse lo Scandone, il feudo di Grotta sarebbe stato diviso in due porzioni. La parte di feudo concessa ad Ugone, con l’erede Ruggiero di Fragneto entrò a far parte della nascente baronia di Sant'Angelo, che comprendeva anche Sant'Angelo a Scala. L'altra parte seguì, invece, le sorti del vicino feudo di Montefredane, almeno fino al XIV secolo."
39,Medievale,IX,850.0,"Storicamente, si sa che Guardia fu fondata da un popolo barbaro, i Longobardi, venuti dalla Panusia e che diede il nome al paese, chiamandolo “Guardiae Lombardorum” poi “Guardia Lombardi”, “Guardia dei Lombardi” e oggi “Guardia Lombardi”","Nel Medioevo, Guardia aveva la qualifica di Universitas. Nel 1053 vi sostò Papa Leone IX. Il paese fu distrutto nel 1133 da Ruggiero il Normanno e, ricostruito, divenne possedimento dei Balvano. Successivamente passò nelle mani dei Gesualdo, dei Del Balzo e dei Saraceno. La storia più recente vede, nel 1802, il feudo di Guardia passare a Fulco Antonio Ruffo, Principe di Scilla e di Guardia Lombardi, feudatario esigente e sfruttatore."
40,Neolitica,,,"In passato era chiamato Aquilonia, (da aquilus, ossia oscuro) da cui poi Acedonia. Il nome potrebbe però derivare anche da Akunniad, ossia ""madre cicogna"". Questo animale è rappresentato anche sullo stemma, mentre stringe e becca un serpente.","Lacedonia era abitata fin dall'età eneolitica: lo confermano resti di armi in rame e altri reperti rinvenuti nel suo territorio.  I romani costruirono a Lacedonia delle piscine, le terme, l'anfiteatro, lavatoi, giardini pubblici e, nella località ""i capi dell'acqua"", una mutatio (una stazione destinata al cambio di carri e cavalli). cedonia venne in seguito donata, nel VI secolo, ai Benedettini dall'Imperatore d'Oriente Giustiniano. In seguito passò sotto il dominio prima dei, poi dei duchi di Conza e infine dei Normanni; fu a quell'epoca che Lacedonia divenne sede vescovile.  In seguito al terremoto del 1930, il regime fascista ricostruì la città con case antisismiche."
41,Antica,XIII,,"Da Lapideum ""roccioso, sassoso""altri invece sostengono derivi dal fiano il vino.","Le origini del borgo sono antichissime. Fu prima possesso dei Longobardi, poi divenne feudo appartenuto alla nobile famiglia dei Filangieri di Napoli, i cui segni è possibile ritrovare nel Palazzo baronale dei Filangieri, la cui costruzione risale al periodi tra il 1200 e il 1300."
42,Antica,,,"l toponimo ""Lauro"" deriva dal latino laurus, che significa proprio lauro, ovvero alloro",Dal Medioevo all'età napoleonica Lauro fu un importante feudo marchesale e la sua posizione strategico-militare nel vallo di Lauro fu lungamente oggetto di contesa nell'avvicendamento e consolidamento delle varie dinastie in Campania. Lauro fu dominio del Principato di Benevento e poi di quello di Salerno e di Capua.
43,Medievale,IX,883.0,"Probabilmente deriva dal nome della persona proprietaria di quelle terre: Leo, il cui genitivo è Leonis, ossia ""di Leo"" che veniva usato per identificare il terreno appartenente alla sua famiglia","Il nome del paese appare per la prima volta in un atto di donazione datato 883, con il quale il principe longobardo Sicardo concede alla badessa di S. Sofia una proprietà sita in ""Leoni"". Nei Registri Angioini si legge di diversi reclami (tra il 1289 e il 1306) avanzati da alcuni feudatari di Oppido verso i colleghi di S.Angelo."
44,Medievale,,,"Si ritiene sorto il paese alla venuta delle colonie romane nei campi taurasini che vi eressero un locale dove stavano gli infermi per riaversi in salute. Altre fonti opinano che il paese sia sorto dalla distrutta ""Cisauna"".","La sua storia è molto antica risale al V secolo. Si ritiene sorto il paese alla venuta delle colonie romane nei campi taurasini che vi eressero un locale dove stavano gli infermi per riaversi in salute. Altre fonti opinano che il paese sia sorto dalla distrutta ""Cisauna""."
45,Antica,,,"Vi è chi ricollega tale origine ad una matrona romana di nome Manuzia, chi ad una famiglia feudataria, chi a ""loco malecalbiati"", indicato in un atto del 1038 (""malecalbiati"", cioè ""poco spogli"", in relazione all'abbondante vegetazione da cui era ed ancora è circondato il borgo), chi, infine, ad a ""irsuti"" (tali sarebbero stati i Manocalzatesi).",I primi accenni della storia risalgono al XII secolo. Anche se si sa che l'esistenza di questo luogo risale all'età del ferro romana.
46,Antica,I,90.0,"Essendo la storia di Marzano strettamente collegata a quella della vicina Nola, si fa ricondurre il nome Marzano come derivante dal prefetto di Nola Marcianus, che rivestì tale carica dall'84 all'86 d.C.","L'origine di Marzano è attestata al VI-VII secolo a.C. per notizie riguardanti l'eruzione del 900 a.C. avvenuta tra Avella e Marzano, fattore che costrinse gli Etruschi a spostarsi nella limitrofa Pompei. Tuttavia Marzano seguì le medesime vicende di Nola. Prime fonti riguardanti il territorio di Marzano di Nola si hanno intorno al 90 a.C. quando subì il saccheggio prima di Silla e poi di Spartaco. Successivamente Marzano fu occupata dai Longobardi fino a far parte nel 594 della Longobardia minore nella sezione del Gastaldato di Nola."
47,Medievale,,,"In passato il luogo era conosciuto con il nome di Melito Valle Bonito. Il nome attuale deriva dal latino Malus, ossia albero di mele, a cui si aggiunge il suffisso -etum. Un'altra ipotesi (poco credibile) vuole che il nome derivi da Melae, un'antica città sannita. Per distinguere il comune dagli altri omonimi è stato aggiunto al nome l'aggettivo ""Irpino"", identificativo della zona.","Secondo una teoria poco accreditata tra gli storici potrebbe essere sorta sui resti dell'antica città sannitica di MELAE. Citata dallo storico latino Tito Livio, ospitò un insediamento romano, come testimoniano numerosi ritrovamenti archeologici nella zona. Ma il primo nucleo dell'attuale abitato sorse però soltanto in epoca normanna (XI-XII secolo), sotto l'egida dei conti d'Ariano, potenti feudatari locali. Fu inglobato successivamente nei domini dei Gesualdo e dei Della Marra, cquisita dai Caracciolo nella seconda metà del Cinquecento, poi passò ai Pisanelli e ai Pagano (1784). Nel 1962, a seguito dei devastanti effetti di un terremoto, l'abitato venne ricostruito nelle vicinanze del sito precedente, secondo moderni criteri antisismici."
48,Medievale,VI,,"Il nome Mercogliano sembra derivare da Mercurianum che, secondo alcuni studiosi, indicherebbe la presenza in questi luoghi di possedimenti, praedia, dei magistri mercuriales, i magistrati, prevalentemente liberti, che amministravano il culto di Mercurio.","Essendovi sorta dopo la guerra sannitica una colonia romana, il luogo conservò il nome del luogo dove, appunto si venerava il culto di Mercurio, fino al medioevo con la denominazione di ""Castrum Mercuriani"", da cui deriva il nome attuale. Il luogo, comunque, fino al XV secolo conserva anche nello stesso stemma civico, l'immagine del dio Mercurio. Di particolare importanza è una colonna militare romana ritrovata in località Alvanella che conferma la presenza di un'importante arteria viaria che conduceva (e conduce) a Napoli."
49,,XIX,1862.0,"Sorge su di una dorsale collinare posta a separazione della valle del Calore, dalla valle dell'Ufita. Il termine ""Mirabella"" deriva, secondo alcuni dall'unione di mira, con il significato di ""guardare"", e bellum, in riferimento alla bellezza del luogo.","Il nucleo urbano di Aeclanum si afferma con i Sanniti e la loro successiva romanizzazione. Nell'89 a.C. la città partecipò alla guerra sociale e fu distrutta da Silla. Ricostruita e fortificata dai Romani fu eretta in Municipio e, nel II secolo, divenne colonia romana. Fu città di sosta e di mercato sulla Via Appia, ricca di opere pubbliche e monumenti. Con l'affermarsi del cristianesimo fu sede episcopale ed ebbe nel suo vescovo Giuliano un fiero oppositore di sant'Agostino."
50,Medievale,X,922.0,"Secondo una tradizione i primi abitatori, provenienti dal sottostante casale di ""Sambucéto"" (Saucìto in dialetto irpino), giunsero nel sito attuale chiamandolo ""Monte alto"" (Mont'àuto in dialetto), nome che col tempo passò a Montaùto, poi Montaguto. Più verosimilmente il toponimo deriva da ""Monte acuto"", ossia ""monte aguzzo""","Il borgo è citato per la prima volta in un documento (risalente al 950 circa) della diocesi di Bovino, in cui è riconosciuto come parrocchia. Al 1179 risale invece la prima attestazione del casale di Sambuceto, poi decaduto e infine aggregato proprio a Montaguto, nel frattempo assegnato alla baronia di Flumeri"
51,Antica,,,"L'area di Montecalvo fu stabilmente abitata da popolazioni normanne e longobarde, tant'è che il nome ""Mons calvus"" sarebbe di origine normanna, probabilmente per sottolinare il fatto che il borgo venne edificato in cima ad un monte privo di vegetazione.","La prima notizia storica di Montecalvo è contenuta in un documento del 1096, in cui si fa riferimento all'invio di circa sessanta armati di quella zona nella spedizione in Terrasanta voluta da Guglielmo il Buono"
52,Antica,,,"Montefalcione negli scritti longobardi era detto Montefalsone Oppidum, poi sotto il dominio dei Tocco e dei Puderico venne chiamato Montefalcione.","Le origini di Montefalcione risalgono a parecchi secoli prima dell’era volgare come si riscontra dal rinvenimento di tombe, basi e iscrizioni romane. Venne a formarsi il primo nucleo dell’attuale paese che troviamo indicato nel VI secolo con il nome di Montefalcione oppidum."
53,Medievale,IX,891.0,"""monte"" e ""forte"" riferito alla posizione del luogo.","Il suo castello, da cui prende il nome il paese, fu probabilmente un antico Castrum romano, su cui può edificato un castello vero e proprio probabilmente dai longobardi . La storia di Monteforte e antichissima, si trovano tracce della sua esistenza durante la seconda guerra punica."
54,Antica,VI,,"deriva dall'unione di ""monte"" e ""Fredane"" che potrebbe derivare dal nome latino di persona Fridus.","La zona in cui sorge oggi Montefredane fu abitata in epoche remote dei sanniti. Successivamente in corrispondenza della frazione di Arcella si stanziarono popolazioni romane, nel VII Secolo Montefredane fu menzionato nel catalogo US Baronum, in quanto appartenente alla contea di Avellino."
55,Medievale,VII,,Il nome deriva dall'unione di Mons e Fuscolo.,"Montefusco è stata sfruttata e valorizzata dai longobardi, infatti presentava requisiti importanti e  rappresentava una fortezza naturale in una posizione strategica, dalla quale era possibile attaccare i nemici e difendersi da essi. In più Montefusco era ricca di sorgenti d’acqua. La tradizione storica fa risalire ai longobardi nel IX secolo la fortificazione delle mura e un primo insediamento."
56,Neolitica,,,"deriva da ""monte"" più il suffisso -ella per indicare le dimensioni.","Nato su una zona già abitata dal periodo neolitico, il paese diventa sede e contea sotto i longobardi. Montella è nota per la produzione della castagna e per il tartufo nero. Il territorio è prevalentemente montuoso e ricco di sorgenti."
57,Medievale,,1000.0,,"Secondo lo storico Appiano d'Alessandria, Montemarano fu fondata dal valoroso generale sannita Mario Egnazio, che riuscì perfino a sconfiggere nei pressi del monte Toro le schiere romane.[6]Dal 1059 fu sede vescovile. Nel medioevo è contea, con Riccardo Caracciolo detto il Rosso (1082); nel XIII secolo fu possedimento del conte Ligorio Caracciolo. La diocesi di Montemarano fu soppressa il 27 giugno 1818.Tra gli episodi della vita di san Francesco raccontati nel ciclo di affreschi di Giotto nella Basilica Superiore di Assisi, c'è quello intitolato la morta di Montemarano[6], che ricorda il miracolo che vide protagonista una donna del paese, resuscitata, secondo la tradizione, dal santo d'Assisi."
58,Medievale,,,,"l borgo ha avuto origine agli albori del Medioevo anche se la zona è stata frequentata fin dalla preistoria. Le prime notizie certe su Montemiletto risalgono al XII secolo. Fu feudo dei Della Leonessa e dei De Tocco fino al 1806.[5]Il centro storico del paese si sviluppa proprio attorno al Castello della Leonessa, situato in posizione dominante sulle colline irpine."
59,Medievale,XI,,,"Nell'XI secolo divenne sede vescovile ed ebbe un proprio vescovo fino al 1531, anno in cui la diocesi di Monteverde fu unita alla diocesi di Canne. Dal 1532 al 1641 costituì la Signoria di Monteverde per i Grimaldi Principi di Monaco Marchesi di Campagna[12]. La diocesi sarà definitivamente soppressa nel 1818."
60,Contemporanea,XXI,2013.0,,"Il 26 e 27 maggio 2013 si è svolto il referendum consultivo sulla fusione di Montoro Inferiore e Montoro Superiore (in cui, nel 2009, si era già tenuta una consultazione sulla fusione[9]), terminato con il 77,41% dei votanti complessivi favorevoli alla fusione[10]. Con la Legge regionale nº 16 dell'11 novembre 2013 è stato istituito il comune di Montoro[7], formalmente costituito il 3 dicembre 2013[8]."
61,,IX,,,"Nel IX secolo il paese fu presidio fortificato tra i due principati longobardi di Salerno e Benevento, e per la sua posizione strategica sull'Ofanto venne continuamente coinvolto nella guerra tra longobardi, bizantini e saraceni. Dal periodo normanno fino al 1385 Morra fu feudo dell'omonima famiglia baronale e conobbe momenti di notevole espansione territoriale: all'inizio del '200 i feudi di Morra comprendevano, oltre alle terre del Cilento, anche Teora, Sant'Angelo dei Lombardi, Lioni giungendo fino a Vallata e Frigento, dove ancora oggi resistono i ruderi di una rocca detta ""Il Pesco di Morra"". Passato poi agli Zurlo ed ai Caracciolo, il paese tornò sotto il dominio dei Morra dal 1618 fino all'abolizione della feudalità (1806). La peste del 1656 sfiorò senza danni il paese ed infiammò negli abitanti la devozione per San Rocco, la cui festa patronale viene qui celebrata il 23 agosto. A seguito dei moti rivoluzionari del 1820-21 ben otto patrioti morresi vennero esiliati dal re Ferdinando e tra questi due zii del De Sanctis. Nel 1837 a Morra arrivò il colera, ma anche stavolta il paese ne uscì indenne finché una nuova epidemia, nel 1854, uccise novanta morresi in meno di due mesi."
62,Antica,,,,"inglobata tra i possedimenti degli Orsini, di Sanseverino e dei Pignatelli, venne acquistata dalla famiglia Lancellotti nel 1632. Con l’unità d’Italia fu aggregata alla provincia di Avellino; nel 1928 venne annessa al Comune di Quindici;affrancandosene solo nel 1957."
63,,XIX,1861.0,,informazione assente
64,,,,"Deriva dal tardo latino muscus, ossia muschio, diventato con il tempo forma dialettale nusco. Secondo un'altra ipotesi potrebbe derivare dal latino nobiscum (con noi) oppure da nosco (conosco).","Nella seconda metà del secolo XI, Nusco acquistò il titolo di ""civitas"" o perché città ducale o perché eretta a sede vescovile. Ne fu primo vescovo sant'Amato, nativo del luogo, che ancora oggi ne è il Patrono; in cattedrale si conservano le sue sacre ossa e la ""Chartula Iudicati"", del settembre 1093, scritta in caratteri longobardi beneventani."
65,Medievale,XII,1178.0,"Il nome ""Ospedaletto"" deriva da un ospedale costruito in zona dagli avellinesi. La specifica ""d'Alpinolo"" allude forse alla posizione ""montana"" del territorio.","Ospedaletto d'Alpinolo è legato all'Abbazia di Montevergine ed è di origine medioevale col nome, pare, di ""Fontanelle"" e sorgeva nei pressi di Summonte, in seguito, il piccolo borgo venne spostato verso la chiesetta di Santa Maria del Preposito e venne chiamato Casale di Santa Maria del Preposito."
66,,,,"Il nome deriva dal latino pagus, ossia borgo, villaggio. Trovandosi in una valle ha assunto la specifica ""del vallo"". ""di Lauro"" invece deriva dal latino laurus, ossia alloro.","Pago è un piccolo paese del Vallo di Lauro, situato in un quadro verdeggiante, ai piedi del Monte Dinico.Pur non avendo annotazioni circa la relativa origine, si ipotizza che il nome derivi da Pagus latino civi, conclamando Pago come l’ufficio del Vallo per la riscossione delle tasse religiose.Le più antiche notizie, di questo piccolo borgo agricolo, risalgono all’epoca romana, le cui tracce si ritrovano, ancora oggi, nelle contrade di S. Pietro Montedonico e Pernosano.Sviluppatosi nel periodo medievale, il paese fu feudo dei Signori di Lauro; nel sec. XV passò nelle mani di Andrea de Capua e nel XVI divenne un podere dei nobili Cutillo."
67,,,,"Il nome deriva forse dal latino Praedium Paulisium e quindi dal greco Paulision, Παυλίσιον; secondo altri invece il nome deriverebbe da padule, cioè orto","I ""cippi Graccani"" con iscrizioni di età repubblicana sono le uniche testimonianze archeologiche di Parolise. Il primo documento nel quale si trova il toponimo ""Parolisio"" è tanto antico quanto autorevole; si tratta della bolla di papa Celestino III del 4 novembre 1197, nella quale il Papa, curandosi di porre una difesa ai beni temporali della Abbazia di Montevergine, ne dà lunghi elenchi. Tra i beni qui elencati compaiono anche i territori di Candida e, appunto, ""Parolisio"". Da questo documento si può accertare, naturalmente, solo l'esistenza di un territorio, forse nemmeno abitato, che era contiguo con i territori di Candida e che portava tale nome. Si parla ancora di Parolise in un documento, probabilmente del 1340, che elenca i casali che certo Filippo Filangieri aveva unito per creare la baronia di Candida."
68,,,,"Il nome del paese deriva del greco patèr, πατήρ, e pòlis, πόλις, ossia ""città del padre"".",Pesantemente danneggiato dal terremoto del 23 novembre 1980.
69,Medievale,XII,1240.0,"Il nome deriva dal latino ""Petra"" (rupe, roccia), oppure secondo altri da ""Petrurium"", pietra-roccia. Ipotesi entrambe plausibili considerando l'orografia del luogo",Nel 1240 il paese era il casale di Montefusco. Fu per lungo tempo un feudo in epoca angioina per poi soccombere alla potenza spagnola a partire dal 1645.La sua indipendenza arriverà esclusivamente a partire dal 1827.
70,Medievale,,,"Il suo nome deriva dalla ""pietra"" con cui furono costruire le prime abitazioni, erette da parte di gente di origini diverse, e qui ""fuse"" nell'Università di ""Pietra de'Fusi""","La cittadina è stata fondata nel XII secolo. La prima incursioni umana fu quella di popoli nomadi come gli Osci o i Sanniti. La sua fama storica è quella, di un popolo assai bellicoso. Pietradefusi al tempo, Fusole, militò infatti nella seconda guerra punica, al fianco di Annibale. Ma anche tra il '300 e il '500 si impegnò in numerose guerre civile nello stesso sud Italia. Vantò per lungo tempo della protezione ecclesiastica essendo legato, al monastero di Montevergine. Si svincolò da essa solo nel 1724 quando, entrò legittimamente a far parte del Regno di Napoli."
71,Medievale,X,971.0,"Il nome del paese deriva dal latino ""petra sturnina"", ossia la pietra dal colore del storno, il mantello equino (grigio scuro).","La città è stata fondata nel 971 come contado feudale. Durante la dominazione sveva tra il 1194 e il 1266 era sotto il controllo del re Manfredi. Infine dopo la battaglia di Benevento il feudo passò nelle mani di Carlo I D'Angiò, entrando a far parte del Regno di Napoli."
72,Medievale,XI,1070.0,"Il nome deriva da ""pratum"" mentre la specifica ""Principato Ultra"" è successiva, attribuita dopo l'unità d'Italia per indicare la giurisdizione a cui apparteneva.",Il territorio oggi appartenete al comune è stato abitato sia dall'epoca preistorica e sono emersi diversi villaggi irpini nei guadi del fiume Sabato. La  vera fondazione risale però al 1070.
73,Moderna,XIX,1812.0,"L'etimologia deriva dal latino ""pratulum"" , al plurale ""pratula"". Dal latino deriva anche il toponimo serra ovvero, altura o collina.",Il contado fu acquistato per la prima volta dalla famiglia Tocco di Montemiletto a cui rimase fino all'eversione della feudalità nel 1806. La fondazione del comune odierno risale però al 1812.
74,Medievale,XI,1100.0,"Il nome del paese deriva dal latino ""quadra"", ossi appezzamenti di terreno quadrati.","Il casale di quadrelle fu fondato nel 1100 sui resti di una villa di età augustea. Per lungo tempo fu possedimento Svevo ma, nel 1312, per volontà di Roberto D'Angiò, fu ceduto come feudo all'abbazia di Montevergine. A partire dal 1700 il paese iniziò a modellarsi nella forma con cui si presenta oggi."
75,Antica,,,"Il nome deriva dal numerale ordinale quindecim, ossia quindici, forse una misura agraria o una distanza non ben definita.","Il suo territorio fu abitato sin dalla preistoria. In epoca storica vi si insediarono: Etruschi, greci, sanniti e infine i Romani. Questi ultimi sconfissero i sanniti nel 312 a.c. Al tempo dei romani c'erano quindici masserie, i romani alla ricerca di un appellativo per quest'area iniziarono a usare l'espressione ""ad quindecim praedia"". Successivamente questa locuzione è stata abbreviata a ""quindecim"", in italiano quindici."
