"Nome Comune","Numero di abitanti","Sindaco","Nome degli abitanti","Frazioni","Codice Postale","Superficie","Numero di frazioni","Etimologia del nome","Storia","Patrono","Giorno festivo","Epoca di fondazione","Secolo di fondazione","Anno di fondazione","Numero di punti di interesse","Numero di aziende","Numero di scuole","Percorsi","Eventi","Geolocalizzazione","Immagine","Sitografia","Bibliografia"
"Cervinara",9321,"Caterina Lengua","Cervinaresi","Castello, Curielli, Ferrari, Loffredo, Pantanari, Pirozza, Salomoni, San Marciano, San Potito, Scalamoni, Trescine, Valle",83012,29.34,12,"La leggenda vuole che il nome Cervinara derivi da un altare dedicato dai Romani a Cerere, dea delle messi","Il borgo, probabilmente, sorse tra il IX e il X secolo d.C., in età longobarda, quando le popolazioni si concentrarono, dalle campagne, intorno al borgo fortificato in località Castello. Cervinara ebbe numerosi feudatari. Dal Feudalesimo fino agli inizi dell'Ottocento Cervinara conobbe un forte sviluppo agricolo, soprattutto grazie alla particolare fertilità del suolo. Durante il Risorgimento il paese contribuì ai moti liberali del 1820 e del 1848, quando i carbonari decisero di partire proprio da Cervinara per marciare su Napoli ed instaurarvi la Repubblica. Ma i fermenti rivoluzionari non riuscirono mai a coinvolgere la maggioranza della popolazione, anzi, il paese si schierò dalla parte dei Borbone ed insorse contro il governo piemontese che giungeva nel Regno di Napoli per occuparlo. Ebbe, così, inizio il periodo del brigantaggio, che si configurò come una vera e propria guerra partigiana. Le bande di Cipriano e Giona La Gala, scelsero come rifugio i monti sovrastanti il paese per combattere contro l'invasore. A causa di intense piogge il 16 dicembre 1999 una frana fangosa si abbatté sulle frazioni di Ioffredo e Castello. Tale sciagura, nota come alluvione della Valle Caudina del 1999, causò cinque vittime e distrusse o danneggiò vari edifici.","San Gennaro","19 Settembre e Venerdì di Passione (precedente alla Domenica delle Palme)","Medievale","IX - X","Informazione assente",3,31,16,"Informazione assente","Bacio del bambino, Quadriglia, Via Crucis Vivente, Giornata dei Bambini, Nottelonga, Cervinarte, ROCKJAM Festival Gruppi Emergenti, Sagra Della Castagna, Questa E' La Mia Terra, Presepe Vivente, A Marunella.","41.02223809808493,14.616417400538923","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/b744e22d-ec3c-4872-80b3-22cb4d459e95.jpg","Wikipedia","",
"Cesinali",2594,"Dario Fiore","Cesinalesi","Villa San Nicola",83020,4.13,1,"l nome ""Cesinali"" sembra derivare dal germanico cesine, equivalente di ""selva cedua, terra dissodata per fare spazio all'insediamento urbano e all'agro coltivato"".","L'origine del centro sarebbe longobarda, e collegata allo sviluppo della più estesa Atripalda, con la quale Cesinali condivise per lungo tempo le vicende politiche e amministrative (entrambe le località furono rette da alcune delle più blasonate famiglie nobili del Sud Italia, quali, ad esempio, quelle dei Filangieri, dei Carafa e dei Caracciolo). Pure avendo acquisito, nel corso degli anni, una certa autonomia, il villaggio si vide accorpato, nel 1927, al limitrofo comune di Aiello del Sabato, per poi tornare indipendente nel 1950. Il comune di Cesinali ha anche una piccola frazione, Villa San Nicola, di circa 400 abitanti.","San Silvestro Papa e San Rocco da Montpellier","31 dicembre","Medievale","Informazione assente","Informazione assente",8,26,2,"Informazione assente","Informazione assente","40.89742183685303,14.829019680619242","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/d4b86d3d-93b3-48cd-861a-63698fe7311c.jpg","wikipedia.","",
"Chianche",459,"Grillo Carlo","Chianchesi","Chianche Scalo, Chianchetelle, San Pietro Irpino",83010,7.01,3,"Chianche o Chianca com'era detta nel Medioevo deriva dal latino Planca con probabile riferimento alle plancae (pietre poligonali con le quali i romani lastricavano le strade)","Di Chianche si ha traccia documentale almeno dal XIII secolo. Nel Medioevo era un casale dipendente da Montefusco. Il castello che domina il borgo risale forse al periodo normanno (XI secolo) anche se è citato per la prima volta solo in un documento degli inizi del XIV secolo. Chianche fu possesso feudale prima dei de Planca dal XV secolo al 1545, quando passò ai Crispano sino al 1552, poi agli Albertino (1552-1556, ai Pisanello (1556, ai Sanseverino (1558), ai Filomarino (1568), ai Capece, ai Bernalda, ai Caracciolo (1585), ai Manso (1599-1607) e ai de Guevara. Gli Zunica acquistarono il feudo da Beatrice de Guevara nel 1608 e lo tennero sino 1778 quando fu venduto ai marchesi Perelli nelle cui mani restò sino alla fine della feudalità nel 1806.","San Felice di Nola","14 gennaio","Medievale","XII",1138,2,1,"Informazione assente","informazione assente","Festa di S. Felice Martire, Via Crucis Vivente, Sagra dell'asparago, Festa della Madonna della Pietà, Festa della Madonna delle Grazie,""Chianchestate"", Sagra del ""cicatiello"", Sagra della castagna, ""Nataleinsieme"".","40.89649538509548,14.828040841966867","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/476b1314-da3d-4d6b-b6ca-34081b434533.jpeg","wikipedia, Italia.Italy, Agendaonline.it.","",
"Chiusano di San Domenico",2201,"Carmine de Angelis","Chiusanesi","Non ha frazioni",83040,24.6,0,"deriva dal nome latino di persona Clasius, a cui si aggiunge il suffisso -anus che indica appartenenza. L'aggiunta ""San Domenico"" è successiva e si riferisce non al patrono del paese","La frequentazione del territorio di Chiusano di San Domenico può farsi risalire almeno all'epoca romana, visto il ritrovamento di diversi reperti nella località Civitelle. Anzi, tali ritrovamenti, rappresentati da monete, terracotte e, soprattutto, tombe, fa supporre che a quel tempo già vi siano stati degli insediamenti stabili. Le origini del vero e proprio borgo vengono ricondotte al tempo della dominazione longobarda, e comunque sicuramente verso l'inizio dell'XI secolo, quando la popolazione si aggregò attorno al castello che faceva parte della Contea avellinese. Tra i Signori che amministrarono le rendite feudali si ricordano i Gesualdo, i Del Tufo, i Marchesi Tomacelli (o Tomacella), che vendettero il feudo a Tiberio Carafa, la cui famiglia poi cedette i diritti feudali ai Baroni Anastasio. Chiusano di San Domenico diede i natali nel 1887 al giornalista e scrittore Carlo Nazzaro.","San Michele Arcangelo","8 maggio","Medievale","XI",1020,6,4,4,"informazione assente","Festa di San Nicola, festa del Maio, festa di San Nicola di Bari","40.934479225667225,14.919920218604808","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/917f201e-2143-48bd-bdb5-0b613b60b571.jpeg","Wikipedia, Castelli d'irpinia.","",
"Contrada",3051,"Pasquale De Santis","Contradesi","Castello, Varosano, Rione Ospedale",83020,10.31,3,"il nome del paese deriverebbe dal latino tardo ed andrebbe inteso come ""borgo""","Superata la prima fase di occupazione del territorio da parte degli Hirpini Contrada fece parte della colonia romana Veneria Livia Abellinatum. La presenza di diverse iscrizioni, sepolcri ed altri reperti rafforza l'ipotesi che anche qui si sviluppò un insediamento romano a causa della realizzazione della ""Fons Augusti"" o ""Fontis Augustei Aquaeductus"". Ultimata la costruzione dell'acquedotto, per il suo funzionamento e la sua manutenzione, vennero mantenute molte persone nella zona, per cui, già prima della nascita di Cristo, doveva esistere anche un insediamento a Contrada. Le origini del borgo medioevale di Contrada risalgono al Medioevo. I primi documenti, infatti, sono del XIII secolo, precisamente del 1213, dove si parla di Contrada quale Contrada di Bagnoli, un piccolo casale nel Medioevo non distante dal centro ed abbandonato già dal XIV secolo. Il Casale di Contrada e quello dell'Hospitale divennero parte del feudo di Forino dal XIV-XV secolo fino a qualche decennio successivo all'abolizione della feudalità (1806), finendo per seguirne le vicende politico-amministrative, salvo un breve periodo, dal 1552, in cui il Casale divenne ""Università"" autonoma, anche se sempre soggetta ai feudatari di Forino. Il Casale di Hospitale (Ospedale), nei pressi del centro storico, nel 1848, si fuse con quello di Contrada per formare un Comune autonomo.","San Michele Arcangelo","8 maggio","Antica","Informazione assente","Informazione assente",3,7,3,"Informazione assente","La Sagra del castagno e del nocciolo, la Celebrazione dei Caduti (4 novembre), il Premio letterario Faliesi, mercato settimanale, Sagra ""A' Risacca Sott' o Piesc"", la sagra del boscaiolo, ""Circus in borgo""","40.868180362901576, 14.77490739970938","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/7b88b273-8856-4904-a5ce-d57504027012.jpg","Wikipedia","",
"Conza della Campania",1351,"Luigi Ciccone","Conzani","Informazione assente",83040,52.04,"Informazione assente","Informazione assente","Il territorio è stato abitato da popolazioni appartenenti alla cosiddetta cultura di Oliveto-Cairano. Influente centro irpino, romano e longobardo, sede vescovile prima, e arcivescovile in seguito, a causa di frequenti terremoti, col tempo perse la sua importanza a favore di Sant'Angelo dei Lombardi e Teora. Dal 1811 al 1860 ha fatto parte del circondario di Teora, appartenente al distretto di Sant'Angelo de' Lombardi del regno delle Due Sicilie. Dal 1860 al 1927, durante il regno d'Italia ha fatto parte del mandamento di Teora, appartenente al circondario di Sant'Angelo de' Lombardi.","Sant'Erberto","20 agosto","Antica","Informazione assente","Informazione assente",3,54,5,"Informazione assente","Festa delle Maggiaiole, Festa di S.Eriberto, Sagra del migliariello-baccalà-porchetta, Estate a Conza.","40.85675137062974, 15.335702173856973","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/dab22809-d4d5-4610-9e3c-2b02f799adb9.jpg","Wikipedia","",
"Domicella",1838,"Antonio Corbisiero","Domicellesi","Casamanzi, Casola.",83020,6.4,2,"Il nome deriva dall'unione di Domus con il suffisso diminutivo cella, con il significato di ""piccola casa"", usata per raccogliere gli alimenti o dedicata, forse, agli schiavi.","Se le origini del paese sembrano ineccepibilmente essere ""scritte"" nel suo nome sembra che in precedenza sul sito esistesse già un insediamento, a cui Domus Cella si sarebbe sovrapposta. Le testimonianze di epoca romana sono chiare ed equivoche: in località Cioppola, si trovano i ruderi di una villa rustica romana, rappresentati da tratti di pareti, di vasche e di pavimentazioni, ed un'altra si trova lungo la Via Palma Campania-Lauro. Ulteriore stratificazione urbana si ebbe nel Medioevo, quando il borgo si sovrappose a sua volta al nucleo di epoca romana. Fu così che Domicella e dintorni vennero assorbiti dal feudo di Lauro, appartenendo nel 1220 a Giovanni Lanzo, Notaro di Federico II, e nel 1270 a Raimondo de Vaudemont. Successivamente, proprietari furono gli Orsini, i Sanseverino, i Pignatelli ed i Lancellotti. Domicella diede i natali al Letterato Giano Anisio (1465-1540) ed all'Umanista dell'Accademia Pontaniana del XVI secolo, Cosimo Anisio.","San Nicola di Bari, San Filippo Neri","26 maggio","Antica","Informazione assente","Informazione assente",9,48,11,"Informazione assente","Informazione assente","40.879950352792626, 14.586782262219952","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/554cf20d-3b9e-4944-a044-816b71c264d4.jpg","Wikipedia","",
"Flumeri",2856,"Angelo Antonio Lanza","Flumeresi","Pila ai Piani, Pagliara, Fontana Madonna",83040,34.24,15,"L'origine del nome non è chiara. Secondo alcuni deriva da una famiglia normanna, ""Forma"" che abitò questi luoghi. Secondo altri potrebbe derivare dal termine frumentum per indicare l'abbondanza del grano presente in zona. Quest'ultima ipotesi è avvalorata anche dallo stemma del Comune che riporta due spighe di grano.","Dopo la caduta dell’Impero Romano e il turbolento passaggio dei Bizantini e dei Longobardi, troviamo Flumeri appartenente alla Baronia di Vico, nella seconda metà dell’XI secolo quando era signore il Normanno Gradilone, figlio di Riccardo de Forma, Principe di Capua. Dopo meno di un secolo, la sede di residenza della Baronia e del suo Signore fu spostata da Trevico a Flumeri. Allora il centro, che aveva già un castello munito di mura con due porte che si aprivano una ad Est, detta Porta della Vittoria, di cui se ne conservano ancora dei resti all’inizio del paese; e una a Nord, detta Porta di Santa Maria, venne fortificato diventando una vera e propria roccaforte a guardia delle vallate sottostanti. Accanto al castello sorgeva un Convento Francescano che si dice fosse stato fondato dallo stesso Poverello d’Assisi. Dopo i Normanni vennero gli Svevi e in un secondo tempo gli Angioini. Le successive lotte tra Angioini e Aragonesi trovarono Flumeri totalmente coinvolto. Nel 1461, infatti, fu cinta d’assedio dagli Aragonesi e le sue mura furono bombardate.","San Rocco","6 dicembre","Antica","Informazione assente","Informazione assente",5,7,4,"Informazione assente","San Rocco festa patronale  15 e 16 Agosto, col monumentale “Giglio” di spighe di grano. Festa di Sant’Antonio    13 Giugno. Festa di SS.Maria del Rosario e S.Vito    3 e 4 Giugno. Sagra del cicatiello  10 Agosto. Sagra del mugniatiello  inizi di Settembre","41.08059717543986, 15.147593920302503","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/743cf792-1cf5-4afc-8563-d94e5ccfd6ce.jpg","Wikipedia, comunediflumeri.it","",
"Fontanarosa",2968,"Giuseppe Pescatore","Fontanarosani","Non ha frazioni",83040,17.15,0,"Per quanto riguarda poi l'origine del nome definitivo di Fontanarosa, vi sono almeno tre opinioni più serie, oltre quella leggendaria di una fontana appartenente ad una tale Rosa, ove molti si sarebbero recati ad attingere («andiamo alla fontana di Rosa»). La prima opinione ritiene che, come si ricava da antichi documenti, il nome sia stato originato dalla salubrità del clima e dalla fertilità dei campi. L'altra sentenza ritiene che il paese abbia preso nome da una sorgente di acqua di sapor rosaceo, donde il nome di Fontanarosae: Fontana (sapor) di rosa (vedi: F.M.Pratilo “Via Appia”). Infine una terza teoria ricondurrebbe il nome del paese alla parola latina ""fontanarosarum"", ovvero luogo ricco di sorgenti.","Fontanarosa vanta origini normanne e venne citata per la prima volta nell'XI secolo. La famiglia Fontanarosa già citata, fu una delle più illustri al tempo dei Normanni: Giovanni di Fontanarosa prima e Roberto di Fontanarosa poi, furono grandi conestabili (la più alta carica del regno) ai tempi di Federico II. La signoria dei Fontanarosa terminò nel 1340 (o 1461 secondo altri). Fontanarosa passò in feudo alla famiglia Gesualdo, a cui appartenne fino al XVII secolo, per poi andare ai Ludovisio ed infine ai Tocco di Montemiletto.","San Nicola","6 dicembre","Medievale","Informazione assente","informazione assente",8,8,4,"Il territorio di Fontanarosa è ricco di sorgenti, di cui una avrebbe dato i nome al paese. Una passeggiata lungo il torrente Fredane consente di godere di una bella vista, in luoghi interessanti dal punto di vista naturalistico ed ancora incontaminati. I terremoti hanno accompagnato costantemente la storia di questo borgo. La nostra visita guidata, partendo dalla storia di Fontanrosa, si sofferma sull'incantevole centro storico, sul Santuario di S. Maria della Misericordia e sulla chiesa S. Nicola. Vengono evidenziati gli elementi caratteristici di Fontanarosa: la pietra, la fede ed il Carro di paglia, il grano, il presepe, le fontane. Infine, vengono mostrati gli edifici signorili, il museo della pietra e della paglia, ed una galleria di immagini, che conclude il quadro complessivo relativo a questo borgo, uno dei più belli dell'Irpinia.","Il Santo Patrono è S. Michele, festeggiato il 6 dicembre. A Maria SS, festeggiata il 15 agosto è dedicata la festa del Carro (14-16 agosto), un obelisco di paglia in stile gotico, con al vertice la statua della Madonna della Misericordia","41.01654096739271, 15.018772539559272","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/c5a6e411-3152-48bf-916f-736998508cda.jpg","wikipedia.it, irpinia.info","",
"Forino",5357,"Antonio Olivieri","Forinesi","Castello, Celzi, Petruro",83020,20.49,3,"Potrebbe derivare dal cognome Forino, che a sua volta deriva dal latino fur, furis, ossia ladro. La tradizione crede che il nome derivi da castrum Forini, ossia zona ""abbondante di fiori"". Un'altra ipotesi vuole invece che il nome derivi da forum, piazza, luogo di riunione.","Ritrovamenti sporadici nel territorio danno una sua frequentazione già in epoca pre-romana.  Il paese faceva parte della colonia romana Venera Livia Abellinatum, ed era caratterizzato dalla presenza di costruzioni riconducibili alla Villa romana. Forino fu interessato dall'attraversamento dei vari popoli invasori. I segni più evidenti del loro passaggio furono lasciati dai Bizantini, con il culto del loro protettore San Nicola, vescovo di Mira, e ancora oggi protettore del paese. Gli Orsini, venuti in possesso del feudo per maritaggio, lasciarono segni importanti del loro passaggio nel territorio.","San Nicola di Bari","6 dicembre","Antica","Informazione assente","Informazione assente",13,22,8,"La vicinanza al Capoluogo e l'immersione nel verde rendono notevolmente attraente Forino, che dispone, in località Piano Saldo, a 700 metri s.l.m. a sei chilometri dal paese, di una Pineta attrezzata di sette ettari, lungo la Strada che da Forino conduce a Bracigliano (Provincia di Salerno). La strada è affiancata da fitto verde dei boschi di castagno. Altre possibilità di effettuare passeggiate ossigenanti e rilassanti vengono offerte da altre oasi verdeggianti che rientrano nel territorio comunale di Forino, in cui non mancano delle sorgenti d'acqua. Ad esempio, partendo dalla frazione Petruro, si raggiungono rapidamente i 941 metri s.l.m., dove si trova la Grotta dell'Arcangelo Michele ricavata nella roccia dai Longobardi per celebrare la vittoria sui Bizantini della Piana di Forino dell'8 maggio 667. Dall'alto del Monte Falieso il verde panorama è incantevole.","Il Santo Patrono è S. Nicola di Mira, festeggiato il 6 dicembre. Numerosi sono gli altri eventi sia religiosi che civili, soprattutto estivi. Ricordiamo la Festa di S. Stefano (14 marzo), la Festa di S. Michele (8 maggio), la Sagra dello gnocco (luglio), la Festa di S. Anna (26 luglio), la Festa di S. Nicola (fine luglio-inizio agosto, con la Fiaccolata l'ultimo giovedì di luglio), il Presepe vivente (fine dicembre-inizio gennaio), la Via Crucis, rappresentazione del Calvario di Gesù, organizzata dai Padri Passionisti, che prende le mosse nel tardo pomeriggio del Venerdì Santo dalla Chiesa di S. Stefano, per proseguire nel centro storico, con la rappresentazione dei vari episodi della Passione verso il Golgota.","40.862613,14.736041","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/73ec1d1b-ac33-48fb-9c1a-95aaff837a5b.jpg","wikipedia.it, irpinia.info","",
"Frigento",3731,"Carmine Ciullo","Frigentini","Pila ai Piani, Pagliara, Fontana Madonna",83040,38.04,3,"La denominazione di Frigento deriverebbe dal toponimo Frequentum, Friquentum o Afrigentum, a loro volta derivanti dall'espressione latina A populi frequentia, così come menzionato nelle Rationes Decimarum della Campania (1308-1310).","Il territorio di Frigento conta numerosi rinvenimenti di epoca paleolitica, principalmente realizzati in selce o in ""pietra di Frigento"", costituita fra l'altro da scisti silicei, peliti rosse silicizzate e marne silicizzate. Il paese di Frigento emerse agli onori della storia nel 441; in quell'anno per volere del Papa Leone Magno divenne sede della diocesi del meritevole vescovo Marciano che scelse questo lungo come eremo e luogo di preghiera.","San Marciano","14 giugno","Medievale","V",441,10,46,10,"informazione assente","Assai numerose sono le manifestazioni: Processione dei misteri con statue del 1700 (settimana di Pasqua), Fiera e festa della Madonna del Buon Consiglio (8-10 maggio), Cappelle viventi (31 maggio), tradizionale processione del Venerdì Santo con la rappresentazione della Passione di Cristo, sagra delle chichierchie (fine luglio) e le importanti feste di Ferragosto, cioè la Festa dell'Assunta e di S. Rocco.","41.012525461472, 15.100599997958144","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/92812e94-d06c-47bc-aa80-936b1e27e7f1.jpg","wikipedia.it, irpinia.info","",
"Gesualdo",3483,"Edgardo Pesiri","Gesualdini","Piano della Croce, Torre dei Monaci",83040,27.34,2,"Un'ipotesi sull’origine del nome è di Cipriano de Meo, il quale sostiene che il nome medievale di Gesualdo fosse Gisivaldum, da Gis-wald, dove “Gis”‘ è il nome del suddetto cavaliere e “wald” vuol dire bosco, quindi “Il bosco di Gis”, pertanto confutando le altre tesi che ritenevano la denominazione Gesualdo derivare dal nome dell’eroico Cavaliere","Una prima versione, dovuta alla tradizione locale, vuole che Gesualdo sia di origine longobarda, in quanto fondata da Gensualdo, nel VII secolo. La tesi prevalente, però, fa risalire la nascita di Gesualdo ai tempi di Guglielmo d'Altavilla, figlio naturale di Ruggiero il Normanno. Il borgo fu gravemente colpito dal terremoto del 1694 e fu saccheggiato dalle truppe francesi nel 1799, episodio quest'ultimo che determinò la decadenza del castello e del borgo. Gli ultimi feudatari furono i Caracciolo di Torella ed i Caccese.","San Nicola","6 dicembre","Medievale","XIV",1335,10,13,9,"informazione assente","Diversi sono gli eventi che ravvivano la vita di questo tranquillo borgo: Santo Patrono (San Nicola), festeggiato il 6 dicembre; Carnevale gesualdino, che si tiene a febbraio, si caratterizza per la sfilata dei carri; Venerdì Santo, in cui si celebra la passione di Cristo, tramite una rappresentazione delle sue principali tappe; Celebrazione del Volo dell'Angelo","41.00661372693041, 15.070246586578286","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/89f397ee-cecc-423e-b5f4-ba78d1d20b6e.jpg","wikipedia.it, irpinia.info, tuttitalia.it, amministrazionicomunali.it","",
"Greci",630,"Francesco Addeo","Grecesi","Non ha frazioni",83030,30.27,0,"Deriva dal latino Graeci, ossia greci, in riferimento alla popolazione greco-bizantina dalla quale ha avuto origine il borgo","Nel luogo in cui sorge Greci vi erano stati i bizantini. Nel 535, l'imperatore di Costantinopoli Giustiniano, impegnato nelle guerre contro i Goti, inviò in Italia il proprio generale Belisario il quale vi fondò un gran numero di colonie, tra cui appunto Greci. Distrutto dai Saraceni (908), il borgo fu ricostruito nel 1039 per ordine di Pandolfo II, principe di Benevento","San Bartolomeo apostolo","25 agosto","Medievale","VI",535,8,23,9,"informazione assente","Ricordiamo i festeggiamenti che si tengono in questo borgo irpino: Processione della Via Crucis (Venerdì Santo), con il tradizionale canto della kalimera, rievocativo della passione di Cristo (in lingua arbëreshë); Festa Padronale della Madonna del Caroseno (prima decade di giugno) di origine bizantina, nel corso dei secoli simbolo dell'antico legame degli albanesi di Greci con la madrepatria; Festa e la fiera di S. Antonio (13 giugno)","41.25030824379077, 15.170536230686531","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/a6ed529f-e58e-46c0-a733-539c45d6b02a.jpeg","wikipedia.it; irpinia.info; tuttitalia.it; comune.greci.av.it","",
"Grottaminarda",7921,"Angelo Cobino","Grottesi","Bosco Sant'Elia, Carpignano, Ciavolone, Conduttiello, Feudo Cortesano, Filette, Ischia Cardone, Marmo, San Martino, San Pietro, Schivito, Tremolizzi",83035,29.34,13,"Deriva dall'unione del termine ""grotta"" con il nome di persona Maynardus, forse di origine lombarda","Fece parte in epoca normanna dei possedimenti della famiglia Gesualdo. Concessa in dono da Federico II di Svevia (1229) a un ramo della famiglia D'Aquino, venne infeudata ai Bonito; da questi passò, nel 1540, ai Della Porta, che la ressero con il titolo di duchi. Fu in seguito acquistata dai Salza (XVII secolo), che, durante la rivolta di Masaniello (1646), fecero incendiare numerose abitazioni perché non cadessero in mano ai rivoltosi; venduta alla famiglia Coscia nel 1694, fu distrutta nello stesso anno da un terribile terremoto; altri sismi la colpirono nel 1930, nel 1962 e nel 1980.","San Tommaso d'Aquino","7 marzo","Medievale","Informazione assente","Informazione assente",12,19,12,"Informazione assente","Al Santo Patrono sono dedicati due giorni (7 marzo e prima domenica di giugno). Durante l'estate molti emigrati tornano per partecipare alle tante feste religiose o civili, tra cui ricordiamo quelle di San Ciriaco (8 agosto) e di San Michele (29 settembre). Assai frequentato è il mercato, che si tiene ogni lunedì ed occupa praticamente tutta la zona centrale del paese","41.069218773675345, 15.056551189581684","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/0cef3ead-ffcc-4ef4-ad6d-ec3967fe8da1.jpg","https://it.wikipedia.org/wiki/Grottaminarda, comune di Grottaminarda","",
"Grottolella",1900,"Antonio Spiniello","Grottolellesi","Pozzo del Sale, Spinelli, Taverna del Monaco, Tropeani",83010,7.12,4,"Il nome deriva da Gructerola, che indica un castello e una piccola grotta. Il nome ""Grottolella"" è considerato un diminutivo di grotta.","Il borgo venne probabilmente edificato attorno ad un originario fortilizio longobardo, a cui ne seguì uno normanno, attorno al 1083. Sin dall'epoca longobarda, stando a quanto scrisse lo Scandone, il feudo di Grotta sarebbe stato diviso in due porzioni. La parte di feudo concessa ad Ugone, con l’erede Ruggiero di Fragneto entrò a far parte della nascente baronia di Sant'Angelo, che comprendeva anche Sant'Angelo a Scala. L'altra parte seguì, invece, le sorti del vicino feudo di Montefredane, almeno fino al XIV secolo.","San Egidio Abate","1 settembre","Medievale","Informazione assente","Informazione assente",5,4,3,"Bosco della Terra","Festa di San Ciriaco (8 agosto) e festa di San Michele (29 settembre).","40.97149544745736, 14.788096047580417","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/577a0d32-f362-40e5-9d7c-80ccacc2824c.jpg","http://www.irpinia.info/sito/towns/grottolella/grottolella.htm, Wikipedia","",
"Guardia Lombardi",2000,"Antonio Gentile","Guardiesi","Carmasciano, Fiumara, Forche, Fossi, Frassino, Lagoni, Lazzare, Melio, Papaloia, Paschi, Piani, Piano d'Occhio, Pietri, Santa Maria dei Manganelli, Sasso di sopra, Sasso di sotto, Taverne",83040,56.01,17,"Storicamente, si sa che Guardia fu fondata da un popolo barbaro, i Longobardi, venuti dalla Panusia e che diede il nome al paese, chiamandolo “Guardiae Lombardorum” poi “Guardia Lombardi”, “Guardia dei Lombardi” e oggi “Guardia Lombardi”","Nel Medioevo, Guardia aveva la qualifica di Universitas. Nel 1053 vi sostò Papa Leone IX. Il paese fu distrutto nel 1133 da Ruggiero il Normanno e, ricostruito, divenne possedimento dei Balvano. Successivamente passò nelle mani dei Gesualdo, dei Del Balzo e dei Saraceno. La storia più recente vede, nel 1802, il feudo di Guardia passare a Fulco Antonio Ruffo, Principe di Scilla e di Guardia Lombardi, feudatario esigente e sfruttatore.","San Leone IX Papa","19 aprile","Medievale","IX",850,10,20,9,"Valvano, Di Leo, Monte Cerreto","Tra gli eventi, soprattutto estivi, che rianimano il paese svuotato dall'emigrazione, ricordiamo: il Falò di S. Giuseppe (19 marzo), la Fiera di S. Leone (19 aprile), la Fiera Maria Santissima Incoronata (ultimo sabato aprile), la Festa e la Fiera di S. Maria dei Manganelli (21 e 22 giugno), la Festa e la Fiera di S. Pietro (29 giugno), l'Agosto Guardiese, la Festa e la Fiera di (6-7 agosto), la Festa del Borgo Antico (penultima domenica agosto).","40.95395691189204, 15.208585222210038","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/9c561150-0436-4587-9bb4-6749e2f5583b.jpeg","http://www.irpinia.info/sito/towns/guardiadeilombardi/guardiadeilombardi.htm, Wikipedia","",
