Nome Comune,Numero di abitanti,Sindaco,Nome degli abitanti,Frazioni,Codice Postale,Superficie,Numero di frazioni,Etimologia del nome,Storia,Patrono,Epoca di fondazione,Anno di fondazione,Secolo di fondazione,Numero di punti di interesse,Numero di aziende,Numero di scuole,Percorsi,Eventi,Immagine,Sitografia,Giorno festivo month,Giorno festivo day,GeolocalizzazioneLattitude,GeolocalizzazioneLongitude
Casaletto Spartano,1331,Concetta Amato,Casalettani,"Battaglia, Fortino",84030,70.0,2,"Di origine medioevale il paese, secondo una leggenda locale, si sviluppò intorno all'antica contrada ""Spartoso"", da cui potrebbe derivare il nome Spartano. ... Il toponimo ""Casaletto"" deriva, come si può facilmente dedurre, da ""casale","Il sindaco però, volutamente o per scarsità di mezzi, non provvide a soddisfare le richieste del generale che, giunto in paese e sospettando il sindaco di essere in combutta con i briganti filoborbonici, lo fece fucilare nel luogo detto ""alle pietre del Campo"", ordinando la riunificazione dei comuni di Casaletto e Battaglia e imponendo al sindaco di Battaglia di trasferirsi a Casaletto, che fu eletto a capoluogo. Il termine ""Spartano"" fu aggiunto a ""Casaletto"" solo dopo l'unità d'Italia. Esso deriva da ""sparto"", una pianta delle aree mediterranee, presente quasi ovunque nel territorio casalettano.",San Nicola di Bari,Medievale,1117.0,XII,7.0,52.0,9.0,"Cammino di San Nilo, sentiero di collegamento, oasi capelli di venere sorgente",Festa di Natale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/606e774a-5e69-49e4-bf55-57b75c7f053b.jpeg,"wikipedia, aziende. tuttosuitalia.com",Maggio,13,40.15605681803533,15.627214297320048
Caselle in Pittari,1895,Maurizio Tancredi,Casellesi,,84030,44.0,0,"l primo termine, ossia Caselle deriva dal latino tardo casella che significa piccole case. La specifica ""in Pittari"" fa riferimento al monte su cui sorge il paese. La parola Pittari nello specifico deriva da ""pietra"" che in dialetto locale si dice pitere.","Un primo abitato indigeno, di notevole funzione strategica, risalente al VII-VI a.C sorse, pare, sul monte San Michele, a Sud dell’odierna Caselle, a guardia della carovaniera –antica via del sale- che, in epoca arcaica, si snodava lungo il corso del Bussento e univa il Vallo di Diano con il Golfo di Policastro. Testimonianza probante di questo insediamento sarebbero molti frammenti di tegole e di vasi di epoca ellenistica e di alcuni nuraghi in miniatura che sorgono sulla sommità del monte, tumuli di pietra grezza in cui forse si seppellivano i defunti in posizione rannicchiata",San Michele,Romana,,VII,,50.0,9.0,Percorsi di escursionismo e percorsi con le bici,"Festa di San Michele, Fiera di Settembre, Festa dell'Epifania",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/60cf7681-fe2d-4620-bf6c-94038fa1bc58.jpg,https://www.tripadvisor.it/Attractions-g2299493-Activities-Caselle_in_Pittari_Province_of_Salerno_Campania.html    WIKIPEDIA ; aziende.tuttosuitalia.com,Maggio,8,40.17784271915391,15.543102137985533
Castel San Giorgio,13721,Paola Lanzara,Sangiorgesi,"Aiello, Campomanfoli, Castelluccio, Cortedomini, Fimiani, Lanzara, Santa Croce, Santa Maria a Favore, Taverna/Casalnuovo, Torello, Trivio,Mercato San Severino, Nocera Inferiore, Roccapiemonte, Sarno, Siano",84083,13.0,17,"La storia del paese ci racconta che i romani costruirono in zona un castrum, ossia una fortificazione, un castello. All'interno delle mura i longobardi vi costruirono una chiesetta in onore di San Giorgio che fu identificato anche come loro santo protettore. Da qui il nome di Castel San Giorgio","Prima dell'Unità d'Italia si chiamava San Giorgio, e con decreto prefettizio del 4 gennaio 1863 fu aggiunto Castel. L'attuale territorio comunale era anticamente parte integrante della città di Nuceria Alfaterna. Nella sua antichissima unità territoriale ha visto, nel corso dei secoli momenti di grandissimo interesse storico e sociale. Il territorio si impone all'attenzione della storia perché è stato percorso da vicende belliche che partono dalle imprese di Annibale in Campania",San Rocco,Medievale,,,4.0,51.0,16.0,I migliori percorsi sono in mountain bike e sono circa 10.,Sette diversi tipi di sagre,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/14d416f3-8931-47ac-8e6d-14909e4237b2.jpeg,wikipedia; tripadvisor; aziende.tuttosuitalia.com  ilborgista.itcastelsangiorgio.it,Agosto,16,40.78876113913883,14.706513979035776
Castel San Lorenzo,2428,Giuseppe Scorza,Castellesi,,84049,14.0,0,"Il paese nacque probabilmente nel periodo longobardo, quando un certo numero di persone si rifugiarono in quelle zone. La specifica di ""San Lorenzo"" è legata alla presenza in zona di una chiesa dedicata al Santo.","Le origini di Castel San Lorenzo risalgono al 1144 quando il primo nucleo urbano si formò intorno al monastero di S. Lorenzo de Strictu. Quest'edificio sarebbe stato fondato da Guaimaro III, conte di Capaccio, poco prima di scegliere la vita spirituale e di ritirarsi nella Badia di Cava intorno al 1137.",San Giovanni Battista,Medievale,1144.0,XII,3.0,40.0,3.0,,Sagra dello scazzatiello castellese,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/fae2e737-514a-4bfa-a084-67499973ee91.jpeg,wikipedia; tripadvisor; companies.tuttosuitalia.com;comuniitaliani.it,Giugno,24,40.42701699962333,15.232222082783549
Castelcivita,1556,Antonio Forziati,Castelcivitesi,"Cosentini, Serra",84020,57.64,2,"Fa parte del Parco del Cilento e Vallo di Diano. Fino al 1863 fu chiamato Castelluccio, il nuovo nome è composto dalle parole castello e civitas, (città) quest'ultima si riferisce alla comunità degli abitanti.","I primi insediamenti nell'area di Castelcivita risalgono all'epoca preistorica. Come testimoniato dagli scavi archeologici che hanno avuto luogo presso le Grotte di Castelcivita, l'arrivo dei primi uomini moderni (Homo sapiens) ha lasciato importanti tracce, oggi custodite nei primi metri della cavità. Tuttavia, è a partire da tempi successivi che quest'area crebbe e sviluppò la sua storia.","San Cono il Taumaturgo, San Nicola di Bari",Moderna,1889.0,XIX,15.0,263.0,15.0,Grotte,Sagra della castagna Sicignano degli Alburni,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/adb4eb65-2f37-4c9a-96c1-9a9702fe7fa0.jpeg,Wikipedia companies.tuttosuitalia.com,Giugno,3,40.56670872254221,15.277438247061276
Castellabate,9225,Costabile spinelli,"Castellabatesi, Castellani","Alano, Lago, Licosa, Ogliastro Marina, San Marco, Santa Maria, Tresino, Pietà, Salvatore, San Pietro, Località Annunziata",84048,36.0,11,"Dopo la sua morte, la fortezza fu intitolata dalla popolazione locale al suo ideatore, dando origine al nome del borgo secondo questa linea etimologica: Castrum abbatis &gt; ""Castello de lo abbate"" &gt; ""Castello dell'abbate"" &gt; ""Castellabate","L'area del comune di Castellabate fu abitata dai longobardi prima e dai normanni poi. ... Sotto la valida protezione della fortezza e grazie al porto, gli abitanti dell'area poterono prosperare al punto da far diventare Castellabate la più ricca baronia del Cilento.",San Costabile Gentilcore,Moderna,1861.0,XIX,,48.0,14.0,Sentiero di punta licosa,"Sagra Del Pescato Di Paranza, Carnevale a Castellabate",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/3151ecd5-d68e-43fa-89f3-11f41f05bb1d.jpg,"wikipedia, aziende.tuttosuitalia, comuniecomuni; eventicastellabate",Febbraio,17,40.30060467057951,14.957944610866615
Castelnuovo Cilento,2841,Eros Lamaida,Castelnuovesi,"Pantana, Velina",84040,18.6,2,"Secondo alcuni il nome del paese deriva dal latino castrum novum, ossia castello nuovo (dove si rifugiavano gli abitanti di un borgo per scampare alla malaria).",,Santa Maria Maddalena,Moderna,1861.0,XIX,,40.0,9.0,Via silente,Varie mostre d'arte ogni anno,,wikipedia; castelnuovocilento.eu; ilcilentano,Luglio,22,40.2196012142733,15.176758162365827
Castelnuovo di Conza,607,Michele Iannuzzelli,"Castelnovesi,Castelnuovesi","Pendino, Cupone",84020,13.98,2,"Probabilmente deriva dal latino castrum novum o castellum novum, ossia castello nuovo e la sua origine è probabilmente legata a ""Castelnuovo Cilento"", infatti per distinguerlo da questo paese, gli fu assegnata la specifica di ""Conza""","Il territorio di Castelnuovo di Conza era già abitato tra il V e il III secolo a.C., come dimostrano i ritrovamenti archeologici di alcuni siti sannitici sottoposti a saggi di scavo da parte del professor Werner Johannowsky della Soprintendenza di Salerno e non ancora portati completamente alla luce.Fu proprietà di don Francesco Gesualdo, che poi vendette a Stefano Di Conza, e poi a Fabio Bavosa della terra di Pescopagano, suo vassallo. La presenza di un castello è una probabile ricostruzione di una precedente struttura longobarda posta a guardia della valle e del confine con i territori bizantini.Nella Cronista Conzana (1689-1691) si parla ancora della sua ""forte torre"".Dal 1811 al 1860 ha fatto parte del circondario di Laviano, appartenente al distretto di Campagna del regno delle Due Sicilie.Dal 1860 al 1927, durante il regno d'Italia ha fatto parte del mandamento di Laviano, appartenente al circondario di Campagna",San Nicola,Medievale,1158.0,XII,3.0,2.0,1.0,Via Michelin,Festa Patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/38c2365b-82e7-4c6b-8069-41e2dd031e1a.jpeg,"Wikipedia,sito del comune",Dicembre,6,40.824668258428574,15.31980022788048
Castiglione del Genovesi,1323,Generoso Matteo Bottigliero,Castiglionesi,"Zana, Serra",84090,10.41,2,"Il nome Castiglione si lega alle funzioni di difesa a cui assolveva la zona, dotata di un castello. La specifica 'del Genovesi' e' in onore del famoso filosofo ed economista Antonio Genovesi.","Come la maggior parte dei paesi della zona dei Picentini, Castiglione deve le sue origini alla distruzione di Picentia intorno all'anno 88 a.C. ad opera dei Romani, che provocò la dispersione dei suoi abitanti nei territori circostanti. I vari centri che si crearono divennero, nel corso del medioevo, distretti amministrativi detti gastaldati, prima di divenire, sotto il dominio normanno, contee e baronie. Il paese trae la sua attuale denominazione dal nome del filosofo ed economista Antonio Genovesi, che qui ebbe i suoi natali nel 1713. Dal 1811 al 1860 ha fatto parte del circondario di San Cipriano, appartenente al Distretto di Salerno del Regno delle Due Sicilie.Fino al 1862 era denominato Castiglione[3]. Il nome venne mutato a seguito del Regio Decreto n. 935 del 1862.Dal 1860 al 1927, durante il Regno d'Italia, ha fatto parte del mandamento di San Cipriano, appartenente al Circondario di Salerno",San Michele Arcangelo,Moderna,1713.0,XVIII,4.0,5.0,3.0,Via Casa Della Calce,Festa Patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/ee414238-e811-4e6b-86eb-6bf55602512e.jpeg,"Wikipedia,sito del comune",Settembre,29,40.72561964392662,14.844040721654894
Cava de' Tirreni,50840,Vincenzo Servalli,Cavesi,"Alessia, Annunziata, Arcara, Casaburi-Rotolo, Castagneto, Corpo di Cava, Croce, Dupino, Marini, Passiano, Pregiato, San Cesareo, San Pietro, Sant'Anna, Sant'Arcangelo, Santa Lucia, Santa Maria del Rovo, Santi Quaranta",84013,36.53,18,"Controverso è il significato del nome di Cava: secondo alcuni deriva dal primo insediamento nella ""cava"" del Monte Finestra ossia nella grotta ""Arsiccia"" da cui sorse l'Abbazia dei Benedettin","I primi abitatori delle ""terre de la Cava"", furono i Tirreni, o Etruschi, per cui il 27 agosto 1862 l'amministrazione comunale cambiò il nome della città in Cava de' Tirreni. Ai Tirreni era attribuito da Strabone (Geografia V,4,13) il porto di Marcina, identificato con Vietri che, con Cetara e Fonti, all'epoca facevano parte del territorio comunale. I reperti pre-romani custoditi nel museo della Badia Benedettina sono in realtà pervenuti da altri siti, frutto di collezionismo archeologico degli abati nei secoli passati. Reperti attribuibili alle fasi insediative pre-romane, recuperati da fortuiti ritrovamenti in età moderna citati dagli storici locali, sono andati dispersi. I resti archeologici più antichi di frequentazione del territorio risalgono i ogni caso al IV-III sec. a.C.Nessuna fonte conforta la tradizionale interpretazione del toponimo altomedievale ""Mitilianum"" come luogo legato alla Gens Mitilia. Tuttavia, che il territorio fosse abitato in età romana lo rivelano resti di ville rustiche che furono ritrovate negli antichi villaggi di Vetranto, San Cesareo e Santa Lucia. Altri resti di epoca romana, sepolcreti, colombari furono rinvenuti in diverse zone del territorio al confine dell'insediamento romano di Nuceria Alfaterna, lungo la strada secondaria che da Nuceria portava a Salernum e presso la località di Pregiato, probabilmente attraversata da un asse di viabilità secondaria per Salernum. Fu abitata dai Longobardi, la cui civiltà è testimoniata da una serie di antiche Torri costruite per il Gioco dei Colombi e per molti toponimi, risalenti ai tre secoli di dominazione longobarda (secc. IX-XI).Nel 1011 fu fondata l'Abbazia della Santissima Trinità. L'Abate San Pietro I (1079-1123) fondò ed edificò nell'XI secolo a ridosso del Cenobio Benedettino il villaggio di Corpo di Cava, protetto da alte mura e bastioni; in pratica il primo insediamento moderno della città di Cava. Nel XIV e XV secolo si sviluppò il Borgo Scacciaventi, pregevole esempio di centro commerciale, caratterizzato da una via fiancheggiata da portici e da storici palazzi porticati. Una strada di una ""perfetta regolarità"", come scriveva Eduardo Gauthier Du Lys D'Arc nel suo ""Voyage de Naples á Amalfi"" (Paris 1829).Il 7 agosto del 1394, il papa Bonifacio IX, con una propria bolla, elevò ""le terre de la Cava"" alla dignità di città. Nacque allora il toponimo ""la Cava"", denominazione che solo dopo l'unità d'Italia, a seguito di un referendum cittadino, fu modificata in Cava de' Tirreni.",Santa Maria Incoronata dell'Olmo,Medievale,1394.0,XIV,18.0,8.0,10.0,valle mediterranea,"Festa Patronale, Festa dell'Autunno",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/75ca5690-7cfe-4372-95c2-5085b7344c38.jpg,http://www.comune.cavadetirreni.sa.it/,Settembre,8,40.757885655784186,14.710207674674953
Celle di Bulgheria,1895,Gino Marotta,Cellesi,Poderia,84040,31.0,1,"Celle di Bulgheria, storia del paese che lega la Campania alla Bulgaria. Celle di Bulgheria è un paese tanto piccolo quanto curioso nel suo nome, che già dovrebbe insospettirci nel suono. Prima dell’Unità d’Italia si chiamava solo “Celle” o “Celle di Bulgaria”, ai piedi del monte Bulgaro","Celle di Bulgheria è un piccolo comune la cui storia è caratterizzata da due eventi rilevanti: lo stanziamento dei proto-bulgari e quello dei monaci. I proto-bulgari abitarono questa terra, giungendo fino alle falde del Monte Bulgheria e fondando dei villaggi. I monaci arrivarono dalla Bulgaria e dalla Grecia e fondarono cenobi e celle attorno ai quali sorsero i primi centri abitati.",Madonna della Neve,Medievale,670.0,VII,6.0,3.0,2.0,Monte Bulgheria,"Festa dello sport, Festa dell'emigrante, Festa dell'aria, Tra borgo e monte, Sagra della Salsiccia, Il Castagno e le castagne",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/cc60d93f-bcba-4ec2-8411-090269fd8d6f.jpg,http://www.comune.celledibulgheria.sa.it/,Agosto,5,40.10211667774585,15.399458209080795
Centola,5072,Carmelo Stanziola,Cantolesi,"Palinuro, San Nicola, Foria, San Severino",84051,47.75,4,"Secondo la tradizione il nome deriva dai ""cento"" uomini provenienti dalla città di Molpa che fondarono il paese. Ma molto più probabilmente il nome deriva da un'unità di misura agraria, centum, forse cento iugeri. Lo iugero identifica un appezzamento di terra che è possibile arare in un giorno con un paio di buoi.","La leggenda vuole che Centola sia stata fondata intorno al XVI secolo da una cosiddetta “centuria” di profughi provenienti dall'antica città di Molpa: da questa “centuria” sarebbe poi derivato il nome al paese. Tuttavia Carla Marcato, ricercatrice dell'Università di Udine, ritiene molto più probabile una discendenza del toponimo da un'unità di misura agraria. Del resto il paese risulta più antico di quanto vorrebbe la leggenda.",Sant'Apollonio,Moderna,1861.0,XVI,7.0,4.0,2.0,Grotte marine,"Festa Patronale, Sagra della patata",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/26af370d-f15d-47b5-bda6-591dfbf78d06.jpg,http://www.comune.centola.sa.it/,Maggio,15,40.07623180645173,15.31268889932143
Ceraso,2282,Gennaro Maione,Cerasuoli,"Massascusa Metoio, Petrosa, San Biase, Santa Barbara",84052,46.46,4,"Il nome deriva dal latino cerasus, l'albero di ciliegie","La prima notizia documentata di Ceraso, una pergamena di Papa Eugenio III, risale  al 6 maggio 1149, anche se alcuni elementi, il culto di San Nicola di Mira, il toponimo, Kerasous che ci riporta alla città omonima nel Ponto, fanno pensare che il borgo fosse stato fondato prima dell'anno 1000.Il borgo sorse intorno ad un importante via di collegamento ""La Via Del Sale"" che collegava le vie Veline con la costa Ionica.La sua importanza crebbe quando durante l'età romana fu aggiunta un'altra via oggi chiamata ""Costa delle Monache"", che collegava il paese con una stazione daziaria romana ""Corneto"" oggi Vallo della Lucania e durante il Medioevo aveva raggiunto un notevole sviluppo economico.",San Nicola di Bari,Medievale,1149.0,XII,3.0,30.0,7.0,3 percorsi ciclabili e 2 montuosi,Mercato settimanale-concerti-spettacoli teatrali e festa del grano,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/a3420aaf-59a9-4661-88e3-783b0d49a541.jpg,Wikipedia e sito comunale,Dicembre,6,40.195293,15.25735
Cetara,2105,Fortunato Della Monica,Cetaresi,Fuenti,84011,4.97,1,"Cetara è sempre stato un paese di pescatori, non a caso il suo nome deriva dal latino Cetaria, tonnara, o da cetari, venditori di pesci grossi.","Cetara è sempre stata un paese di pescatori, ed infatti il suo nome deriva da Cetaria. o tonnara o da ""cetari"", venditori di pesci grossi, i tonni appunto. Fin dal 1030 Cetara fu debitrice al vescovo di Amalfi, dal quale dipendeva, dello ""ius piscariae,"" la decima della pesca.",San Pietro,Medievale,,,10.0,53.0,3.0,"17 percorsi trekking,2 da corsa ,1 per mountain bike",Benedizione del mare del santo patroni-Processione di San Francesco,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/0ca5ab41-4017-4eff-9ce2-2043514ac21a.jpg,,Giugno,29,40.647251,14.703168
Cicerale,1202,Gerardo Antelmo,Ciceralesi,Monte Cicerale,84053,41.37,1,"L'origine del nome è quasi del tutto sconosciuta. Potrebbe derivare dal latino cicero, ossia cece, o da fundus ciceralis, ad indicare luogo dove si coltivano i ceci.","La prima notizia del casale si ritrova in un documento del 1461, quando Ferdinando I d'Aragona sottrasse il feudo ai Capano, per concederlo ai Sanseverino.",San Giorgio,Medievale,1461.0,XV,10.0,1.0,12.0,"2 percorsi trekking,1 automobilistico,1 motociclistico","Festa di S. Giorgio-spetttacoli,concerti",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/50a41ce0-d2e0-4d92-ab99-38f40eadd631.jpg,Wikipedia e sito comunale,Aprile,23,40.34127,15.137777
Colliano,3521,Adriano Goffredo,Collianesi,"Bagni, Bisigliano, Collianello, Macchia Grande, Macchia Piccola, San Vittore, Sasso, Valle di Raio, San Leonardo, Pazzano",84020,55.16,10,"Il comune è ai confini con la Basilicata. E' medaglia d'oro al merito civile. Ha origine gentilizia (cioè deriva da un nome di famiglia). Proviene dal nome latino Collius a cui è stato aggiunto, nel tempo, il suffisso -anus che indica la proprietà.","Nel 1230 feudatari di Colliano sono Agnese e la figlia Giovanna, che era anche signora di Senerchia. Nel 1268 Colliano fu per un solo anno feudo di un certo Ugone. ... Nel 1331, si ha uno smembramento del feudo, Collianello fu donato a Tommaso da Porta. Nel 1426 Colliano e un possedimento di Luigi Gesualdo.",San Leone IV,Medievale,1426.0,XV,10.0,19.0,8.0,"5 percorsi mountain bike,1 ciclabile,2 trekking",Festa di Leone IV,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/01b03ea1-3c0a-4e6c-a3e9-52e956ecc6dc.jpg,Wikipedia e sito comunale,Aprile,19,40.724708,15.292641
Conca dei Marini,671,Gaetano Frate,Conchesi,Marina di Conca,84010,1.13,1,"Si narra che nel XVI secolo a Conca dei Marini ci fossero le streghe, dette janare. Si pensa che questo termine derivi dal latino ianua (porta) e che rimanda ai riti augurali e di superstizione che venivano fatti per proteggere la casa dal malocchio.","Conca dei Marini, l'antica Cossa dei Tirreni , divenuta colonia romana nel 481 a.C., è stata storicamente legata ad di Amalfi: faceva parte infatti del territorio della Repubblica Marinara e ne costituiva uno dei principali punti di ormeggio, disponendo di un porto ben protetto.","Sant'Antonio di Padova, San Giovanni Battista",Medievale,1208.0,XIII,16.0,50.0,2.0,"13 percorsi trekking,1 motociclistico,2 da corsa,6 ciclisti,1 via mare",Festa di San Giovanni e di Sant'Antonio,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/dd5e447d-74fa-45c2-b703-854be1d6d572.jpg,Wikipedia e sito comunale,Giugno,13,40.618987,14.574168
Controne,868,Ettore Poti,Contronesi,,84020,7.75,0,"Il suo nome deriva dalla sua posizione e dalla esposizione al sole: CONTRA – ELJONE (dal greco helios che significa sole), ovvero ""Di faccia al sole"". Lo stemma del Comune di Controne reca al centro dello scudo un'aquila bicipite, di colore grigio, con le ali spiegate.","Fece parte del feudo dei Sanseverino, per passare poi in mano a vari feudatari, fino ai Jaquinto, che lo tennero fino al 1806.","San Donato, San Nicola di Bari",Contemporanea,2009.0,XXI,1.0,27.0,2.0,,Sagra del fagiolo,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/6230abf2-8298-4588-a064-232b94acebd0.jpg,Wikipedia e sito comunale pagine bianche,Agosto,7,40.510536,15.204582
Contursi Terme,3255,Graziano Lardo,Contursani,"Bagni Forlenza,Monte Pruno,Pruno Sottano,Tempa Del Corvo,Vulpacchio,Ponte Mefita,Serroni",84024,28.93,8,"Le origini di Contursi Terme sono state lungamente discusse da vari storici. Basandosi sull'autorità di Plinio il Vecchio, ha ritenuto che Contursi potesse identificarsi con Ursentum, cioè la sede degli Ursentini, i quali, assieme ad altri popoli costituiva la nazione dei Lucani.","Gli storici ne fissano la nascita nell'anno 840 quando Orso1, conte di Conza, volle garantire Salerno2 con la presenza di un avamposto militare sulla collina che dominava l'intera valle, intorno alla confluenza dei fiumi Sele e Tanagro, da sempre storicamente soggetta a facili scorribande di varie soldataglie e pericolosi fuoriusciti. Sorse, così, un probabile castrum Comitis Ursi3, da cui l'attuale toponimo Contursi. È probabile che piccoli nuclei famigliari (pastori, pescatori, coltivatori), sparsi nella valle e aggregati in anonimi vicus o pagus4, grotte5 e capanne, rassicurati dalla presenza militare decidessero di costruire abitazioni intorno al castrum.",San Donato,Medievale,840.0,IX,0.0,1.0,9.0,,"Sagra del Cavatiello e della Capra, sagra della lagana,festa della pizza e della mozzarella",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/55bd78c9-78b5-4177-ba4b-b9d0c05289f5.jpg,Wikipedia e sito comunale pagine bianche,Agosto,7,40.65015,15.240089
Corbara,1806,Pietro Pentangelo,Corbaresi,"Montecito, Casamola",84010,6.66,2,"Probabilmente deriva da corvus, corvo, con il suffisso -aria, che solitamente si applica per indicare un luogo in cui un certo elemento (in questo caso animale) è presente in quantità","Alla distruzione di Nocera (216 a.C.) ad opera di Annibale, parte della popolazione superstite si trasferì nelle zone limitrofe in attesa della ricostruzione della città durata trent'anni, finanziata dal Senato di Roma per ripagare Nocera della fedeltà a Roma stessa. In questo periodo, verosimilmente, si suppone abbia preso corpo il grosso del nucleo abitativo che diventerà Corbara.",San Bartolomeo,Moderna,1806.0,XIX,2.0,3.0,3.0,,"Festa sant erasmo,tradizionale calata dell'angelo, festa patronale san bartolomeo",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/5a05b5e9-127d-43d2-a1e9-b381a324c936.jpg,Wikipedia e sito comunale,Agosto,24,40.722148,14.591889
Corleto Monforte,591,Antonio Sicilia,Corletani,Carnale,84020,58.0,1,"L'origine del nome risale al termine latino coryletum, traducibile come bosco di noccioli (Corylus avellana). Il termine Monforte deriva invece dai locali feudatari.","nel 1246 subì un assedio da parte di Federico II di Svevia: si tramanda che, servendosi astutamente di un espediente -lanciare pezzi di formaggio anziché sassi-, la comunità fece credere alle milizie sveve di essere ben fornita di vettovaglie e le indusse a desistere. Testimoni insigni dell'epoca preromana sono i siti archeologici di Piano del Bue, situato a 6 chilometri dall'abitato, e di Timpa degli Antichi, dove sono tornati alla luce insediamenti rurali. Tra i tesori architettonici del comune spiccano i numerosi edifici sacri: la chiesa di Santa Barbara, che fu la prima parrocchia, quella di San Teodoro, risalente al 500 d.C., quelle cinquecentesche di San Giovanni e della Madonna della Selice e la chiesa del Santissimo Rosario (1771).",Santa Barbara,Moderna,1802.0,XIX,,1.0,1.0,,Festa del caciocavallo,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/e0305398-cac0-460d-87f2-c6f202b4c821.jpg,Wikipedia e sito comunale,Luglio,10,40.436476,15.380656
Cuccaro Vetere,571,Aldo Luongo,Cuccaresi,,84050,17.0,0,"Il toponimo “cuccaro” deriva dal greco e significa cima, cocuzzolo, mentre Vetere deriva dal latino e significa antico. Il nome richiama alla memoria l'immagine del luogo che, dall'alto, domina l'ampia valle sottostante.","Le origini si perdono nella notte dei tempi mescolandosi alla leggenda. Il suo nome deriva dal greco “Kyclos” e significa “recinto fortificato”, ed è dovuto alla posizione geografica che domina la vasta zona circostante. Tale posizione ne fece prima un rifugio e poi un caposaldo difensivo di Velia. E’ stata una delle quattro terre normanne che costituivano la baronia di Novi, poi feudo autonomo e capoluogo dello stato omonimo che, oltre Cuccaro, con il casale di Laureto fino al 1404, comprendeva Abatemarco, Castinatelli, Eremiti, Butani, Massicelle, Montano S. Mauro la Burca e S. Nazario",San Pietro,Moderna,1861.0,XIX,,1.0,2.0,,Palio del ciuccio,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/fee9bb81-6122-48b9-b512-bf9d8830647e.jpg,Wikipedia e sito comunale pagine bianche,Giugno,29,40.162499,15.306742
